# SOURCE: http://skyserver.sdss.org/dr12/en/tools/search/x_sql.aspx
# TIME: Fri Apr 26 00:02:54 2019
# QUERY:
#   
#           SELECT ALL
#           p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   
#           p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,
#           p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,
#           p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,
#   
#           p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,
#           p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,
#           p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z 
#           FROM PhotoPrimary AS p
#           WHERE
#           p.ra BETWEEN 161.64559891344263 AND 162.09615891344262
#           AND p.dec BETWEEN 15.008631753538266 AND 15.459191753538265
#           AND p.type = 6
#           ORDER by p.r
#           
#Table1
ra,dec,u,g,r,i,z,type,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
161.785890430948,15.3688675612635,15.83986,14.39654,14.89454,15.95908,13.54594,6,1.24865E-05,0.09928567,0.6858366,1.417809,0.01152085,0.6431711,0.2500049,0.9662163,0.9088334,0.9997901,40.79718,42.62898,130.7697,129.2484,68.87047,0.0005205455,0.1573563,0.8308573,1.234592,0.0147579,0.6418194,0.2998602,0.9880379,0.9391043,0.9997625,40.77766,42.69317,57.91247,131.7791,68.88564
161.754279249703,15.3619112711817,17.19334,15.61898,15.00181,14.75512,14.65173,6,5.802634E-05,0.02393502,0.05633597,0.03034055,0.002753796,0.6300752,0.5000237,0.3999053,0.971918,0.9908748,40.65169,38.10425,70.2255,38.68912,35.3274,0.0003226481,0.05275783,0.07351511,0.03592906,0.003860273,0.576427,0.2500519,0.5280859,0.9714966,0.9999141,40.62514,38.27788,70.03871,38.75103,35.31379
161.840110288551,15.2584139471287,16.99886,15.49681,15.00863,14.84595,14.794,6,0.1017485,0.06871358,0.02063892,0.01025933,0.001050386,0.4745595,0.799713,0.9606085,0.9996624,0.9235284,10.73104,38.82661,43.01229,35.79511,37.09823,0.1565637,0.09748547,0.02563981,0.027385,0.0008380209,0.5961901,0.8324233,0.9444871,0.8166388,0.9104403,10.66701,38.81722,42.69822,69.7527,37.07148
162.044720185971,15.3256135033663,14.63607,13.68098,15.04267,15.8578,13.14287,6,0.07453364,0.9549376,0.7614948,1.012618,0.04896079,0.09665849,0.7786731,0.8240463,0.8257771,0.7499244,11.01423,12.21264,168.9651,173.2318,155.7864,0.1233325,1.045367,0.8777512,1.053485,0.05938049,0.1999584,0.8615725,0.945547,0.931712,0.7553213,10.97655,10.35207,3.239647,5.576087,155.5446
161.804844142556,15.2898435063024,16.57068,15.46437,15.13613,15.03273,15.02666,6,0.1302786,0.09177534,0.003509367,0.01055197,0.01365255,0.2752183,0.452844,0.9498012,0.9997063,0.8500975,17.00123,39.46773,43.53491,69.3504,66.51917,0.1978741,0.1415014,0.003015853,0.01346311,0.01624926,0.3765348,0.5758232,0.8999338,0.9997229,0.9007332,16.89124,39.5034,43.52814,69.36079,66.46918
161.895319580496,15.3294797979495,19.32742,16.56569,15.17729,14.50091,14.14895,6,0.3720467,4.91681E-06,0.03778238,0.03321431,0.02159322,0.3304266,0.6497561,0.4999974,0.2000201,0.9997251,38.85986,37.13116,128.9187,69.67126,67.80107,0.2541142,0.0003577285,0.0663044,0.03837217,0.02607296,0.3293014,0.497934,0.2963703,0.299972,0.9996784,39.00643,37.1499,128.818,69.68433,67.80122
161.785230154986,15.0706478222821,17.17302,15.69749,15.18952,15.02858,14.96486,6,0.07854451,0.01624011,0.002726669,0.02959014,0,0.09998102,0.9862838,0.05,0.7006235,0.9499458,63.83197,104.0425,65.29122,67.34914,105.02,0.1243039,0.0198277,0.0001847503,0.03342869,0.0002819379,0.3999034,0.999776,0.417681,0.7151006,0.5155081,63.9254,104.2137,65.26736,67.38226,105.0172
161.969766716791,15.1605260268197,16.74965,15.62001,15.23491,15.11705,15.10585,6,0.1072759,0.08137526,0.03384066,0.05131665,0.01509783,0.6593739,0.2350826,0.4999213,0.2999699,0.9997069,13.15531,40.07629,39.51588,68.36312,36.5799,0.1691664,0.1273837,0.05281118,0.08273057,0.01826996,0.6739439,0.3999246,0.3999987,0.2499577,0.9996871,14.16631,40.0293,39.51548,68.37438,36.58157
161.894490640083,15.2510665129247,18.74722,16.25875,15.24149,14.89529,14.71212,6,0.1076194,1.215683E-07,0.007892195,0.02442739,0.01114282,0.1367458,0.9827617,0.9499977,0.9997391,0.9478834,7.429959,37.67327,41.70643,35.64085,71.25233,0.160184,0.0001194094,0.009462795,0.04744728,0.01276284,0.1456188,0.788196,0.899984,0.7821711,0.9975508,7.06127,37.66425,41.61199,69.18462,71.29134
161.667809015506,15.34873762182,15.41273,14.5584,15.28291,13.54695,13.53671,6,0.08201817,0.0761235,0.9735355,0.9433853,0.03340966,0.9999322,0.7455493,0.9423969,0.9292291,0.9142595,40.15363,38.72726,130.9651,128.9693,34.72565,0.1219275,0.128826,1.161991,0.99044,0.03657221,0.9998128,0.7508821,0.9155464,0.8970103,0.9498868,39.98224,40.10153,98.92551,55.16116,34.66221
161.804896469462,15.127355756385,17.14319,15.78731,15.30239,15.1398,15.10417,6,0.08826437,4.126045E-06,7.040905E-05,0.008077588,0.05238724,0.2469454,0.5620309,0.7770131,0.7513325,0.5145028,10.82116,38.72442,37.79121,66.99344,66.60199,0.1300115,0.0002145962,1.012768E-05,0.009479993,0.06646662,0.4682277,0.5034568,0.9722958,0.8998824,0.5807969,10.58372,38.78089,37.70292,66.94213,66.61817
161.954338472286,15.173025533651,18.5555,16.32139,15.39059,15.06873,14.9155,6,0.1081094,2.1649E-05,0.0520134,0.05735504,0.052721,0.6725948,0.9082182,0.06446235,0.4791912,0.349975,35.36145,37.81037,39.78205,39.23393,3.709458,0.1620507,0.000139905,0.03767734,0.07467265,0.0770099,0.7193341,0.6551692,0.4000037,0.5500113,0.3560272,35.22435,37.77929,39.78933,39.18969,3.766827
161.895634073739,15.1284690210736,17.12356,15.8251,15.39547,15.2379,15.1986,6,0.1190133,0.02419902,0.002422397,0.01103033,0.02372226,0.9997239,0.3999896,0.8515539,0.3679104,0.3999632,42.23164,38.9631,37.45272,35.4775,68.82552,0.1753343,0.03541531,0.007242602,0.03377802,0.03277299,0.9997782,0.3999453,0.6554923,0.1393403,0.3999849,42.16714,38.96762,37.79146,35.49939,68.82358
161.948198410298,15.1171786742142,19.14088,16.57907,15.47202,15.05591,14.82395,6,0.06144685,1.396775E-06,0.07171549,4.856691E-05,5.174433E-05,0.9998151,0.6979334,0.8287142,0.8354687,0.3856946,43.27464,37.3373,41.57607,69.89594,67.32269,0.05662821,0.0003934078,0.08458833,0.0004695473,0.0002792831,0.9997866,0.5978914,0.955584,0.6511572,0.4442734,43.12897,37.36061,42.76909,69.87746,67.36602
161.744551417205,15.0714897707563,18.44125,16.34453,15.52277,15.24823,15.11119,6,0.02473516,0.07321214,3.3621E-05,0.06860545,0.01370474,0.2499573,0.9762077,0.7118565,0.1301103,0.9997968,158.331,103.495,64.64076,70.15841,104.9427,0.04104612,0.1080661,4.068939E-06,0.1163225,0.007297163,0.1836103,0.9935867,0.6580535,0.2055856,0.5348916,158.3967,104.0219,64.61988,70.1437,104.1177
161.694107577293,15.0775346844184,18.38064,16.35797,15.5829,15.32055,15.18238,6,0.06517901,0.06877023,4.06139E-05,0.0864349,0.002138583,0.8500153,0.9641987,0.8802797,0.05,0.7580302,43.03318,34.92042,64.02547,72.86829,104.3788,0.0792686,0.08524583,0.0001741485,0.1351243,0.005538453,0.8758476,0.9806329,0.7985783,0.256589,0.7101029,43.39678,34.84427,64.05721,72.71695,104.0365
161.70387746517,15.4413815428973,17.95065,16.25067,15.59568,15.36122,15.25463,6,0.03097077,0.06467308,0.01745063,0.00283282,0.01981838,0.9999072,0.9999735,0.7498515,0.9917856,0.9999835,39.69306,36.45505,64.83354,74.61688,69.44578,0.04225883,0.07245111,0.02127787,0.002920809,0.02430514,0.9999169,0.9996845,0.7512179,0.9098907,0.9999993,76.73997,36.50507,65.28654,74.39476,69.39338
